 gid |   full_id    |      name       |         name_en          |    name_th     | ele |          st_astext           
-----+--------------+-----------------+--------------------------+----------------+-----+------------------------------
  27 | n1762729538  | บ้านห้วยฮี         | Baan Huai Hee            | บ้านห้วยฮี        |     | POINT(98.0757934 19.2104527)
 134 | n5127707425  | บ้านดง           | Ban Dong                 |                |     | POINT(98.07882 18.3438146)
  90 | n4559380002  | บ้านดอนตัน        | Ban Don Tan              |                |     | POINT(98.3740649 19.2078121)
 169 | n10285726132 | บ้านห้วยบอง       | Ban Huai Bong            |                |     | POINT(98.3305814 19.2206546)
 177 | n10295284741 | บ้านห้วยช่างเหล็ก   | Ban Huai Chang Lek       |                |     | POINT(97.8874562 19.1491349)
  60 | n2664739491  | บ้านห้วยช้างใต้     | Ban Huai Chang Tai       |                |     | POINT(97.8891326 19.1135916)
  65 | n2789613870  | บ้านห้วยดูย        | Ban Huai Deui            | บ้านห้วยดูย       |     | POINT(98.540643 19.1350309)
 127 | n5118921329  | บ้านห้วยเดื่อ       | Ban Huai Duea            |                |     | POINT(97.9416701 19.2455483)
 179 | n10295315473 | บ้านห้วยฮะ        | Ban Huai Ha              |                |     | POINT(98.0712138 19.0550702)
  31 | n2237208380  | บ้านห้วยฮากไม้เหนือ | Ban Huai Hak Mai Nuea    |                |     | POINT(98.07872 18.3032)
  99 | n4675530397  | บ้านห้วยฮากไม้ใต้   | Ban Huai Hak Mai Tai     |                |     | POINT(98.0944452 18.2913437)
  70 | n2854533628  | บ้านห้วยฮาใหม่     | Ban Huai Ha Mai          |                |     | POINT(98.1087626 18.3770546)
  23 | n891174275   | บ้านห้วยห้อม       | Ban Huai Hom             |                |     | POINT(98.0660401 18.3785354)
 178 | n10295301943 | บ้านห้วยแก้วล่าง    | Ban Huai Kaeo Lang       |                |     | POINT(97.9204134 19.2105834)
 135 | n5130242029  | บ้านห้วยไก่ป่า      | Ban Huai Kai Pa          |                |     | POINT(97.8960452 18.5137187)
  12 | n807466043   | บ้านห้วยข่าน       | Ban Huai Khan            | บ้านห้วยข่าน      |     | POINT(97.9686 19.4645)
 167 | n10285679299 | บ้านห้วยขี้หมู       | Ban Huai Khi Mu          |                |     | POINT(98.1017541 19.0639295)
  97 | n4590302893  | บ้านห้วยไคร้       | Ban Huai Khrai           | บ้านห้วยไคร้      |     | POINT(98.2087992 19.5522911)
 146 | n5144560215  | บ้านห้วยกองก้าด    | Ban Huai Kong Kat        | บ้านห้วยกองก้าด   |     | POINT(97.7852614 17.9949563)
 149 | n5146650862  | บ้านห้วยกระต่าย    | Ban Huai Kratai          |                |     | POINT(97.7736938 17.8614321)
  98 | n4643055501  | บ้านห้วยหลวง      | Ban Huai Luang           |                |     | POINT(97.9228879 18.2279243)
  77 | n2934026369  | บ้านห้วยไม้ดำ      | Ban Huai Mae Dam         | บ้านห้วยแม่เขื่อน   |     | POINT(98.1487444 19.1920179)
  15 | n807565461   | บ้านห้วยมะเขือส้ม   | Ban Huai Makhuea Som     | บ้านห้วยมะเขือส้ม  |     | POINT(97.9130728 19.5000328)
 118 | n5116349057  | บ้านห้วยมะเขือส้ม   | Ban Huai Makhuea Som     | บ้านห้วยมะเขือส้ม  |     | POINT(97.9211505 19.5097001)
 104 | n5108619257  | บ้านห้วยนา        | Ban Huai Na              |                |     | POINT(97.8077853 18.8508244)
 142 | n5144346984  | บ้านห้วยน้ำใส      | Ban Huai Nam Sai         | บ้านห้วยน้ำใส     |     | POINT(97.8491624 17.8764599)
  46 | n2311815094  | บ้านห้วยผา        | Ban Huai Pha             |                |     | POINT(97.9978109 19.4226544)
 130 | n5121455265  | บ้านห้วยผึ้ง        | Ban Huai Phueng          |                |     | POINT(98.0049927 19.5594604)
 133 | n5126050730  | บ้านห้วยผึ้งใหม่     | Ban Huai Phueng Mai      |                |     | POINT(98.096805 18.6173096)
  17 | n819933126   | บ้านห้วยผึ้ง        | Ban Huai Phung           | บ้านห้วยผึ้ง       |     | POINT(98.0167 19.5667)
  76 | n2934005258  | บ้านห้วยปมฝาด     | Ban Huai Pom Phad        | บ้านห้วยปอมผัด    |     | POINT(98.122673 19.2826992)
  50 | n2312431421  | บ้านห้วยพงษ์       | Ban Huai Pong            | บ้านห้วยโป่ง      |     | POINT(97.9827149 19.0317534)
 119 | n5116349241  | บ้านห้วยโป่งอ่อน    | Ban Huai Pong On         | บ้านห้วยโป่งอ่อน   |     | POINT(97.9126249 19.4248509)
 158 | n8888219808  | บ้านห้วยโป่งต๊าก    | Ban Huai Pong Tak        |                |     | POINT(98.4778625 19.0639997)
 168 | n10285720905 | บ้านห้วยปูลิง       | Ban Huai Pu Ling         |                |     | POINT(98.1464735 19.1737788)
  66 | n2789633072  | บ้านห้วยไร่        | Ban Huai Rai             | บ้านห้วยไร่       |     | POINT(98.5686722 19.1155737)
  25 | n1762704203  | บ้านห้วยทราย      | Ban Huai Sai             | บ้านห้วยทราย     |     | POINT(98.0966919 19.091536)
 172 | n10285742844 | บ้านห้วยสึก        | Ban Huai Suek            |                |     | POINT(98.5280717 19.1833189)
  26 | n1762712763  | บ้านห้วยตองก๊อ     | Ban Huai Tong Ko         | บ้านห้วยตองก๊อ    |     | POINT(98.106642 19.1505617)
  33 | n2240086138  | บ้านหัวลา         | Ban Hua La               |                |     | POINT(97.9592688 18.54405)
 181 | n11209537599 | บ้านหัวแม่ลาก๊ะ     | Ban Hua Mae La Ka        |                |     | POINT(98.0748298 18.746711)
  80 | n3196679128  | บ้านห้วยอ้อ        | Ban Huay Or              | บ้านห้วยอ้อ       |     | POINT(98.3371477 19.0805896)
  41 | n2310889064  | บ้านกิ่วหน่อ        | Ban Hui Nor              | บ้านฮุยนอร์       |     | POINT(98.5255686 19.5223551)
  88 | n4000782042  | บ้านจ่าโบ่         | Ban Jabo                 | บ้านจ่าโบ่        |     | POINT(98.2065564 19.5846301)
 128 | n5120956343  | บ้านแก่นฟ้า        | Ban Kaen Fa              | บ้านแก่นฟ้า       |     | POINT(97.914328 19.0571657)
 173 | n10285744954 | บ้านแกงหอมใหม่    | Ban Kaeng Hom Mai        |                |     | POINT(98.2352029 19.1752507)
 131 | n5123199256  | บ้านคาหาน        | Ban Kha Han              |                |     | POINT(98.001329 19.5451701)
  63 | n2781429658  | บ้านกุ้งซาร์นาย     | Ban Khun Sa Nai          | บ้านขุนสาใน      |     | POINT(98.6406159 19.0952983)
  24 | n1762704089  | บ้านกิ่วขมิ้น        | Ban Kio Khamin           |                |     | POINT(98.1316306 19.0445167)
  10 | n807464397   |                 | Ban Klang                |                |     | POINT(97.96 19.4339)
 147 | n5144560216  | บ้านกอมูเดอ       | Ban Ko Mu Doe            | บ้านกอมูเดอ      |     | POINT(97.7434766 17.9294029)
 153 | n5148660367  | บ้านกึ้ดสามสิบ      | Ban Kuet Sam Sip         | บ้านกึ้ดสามสิบ     |     | POINT(98.2526645 19.4570146)
 121 | n5116668653  | บ้านกุงไม้สัก       | Ban Kung Mai Sak         |                |     | POINT(97.9503574 19.3879501)
 140 | n5144314328  | บ้านเลโคะ        | Ban Le Ko                | บ้านเลโคะ       |     | POINT(97.8463383 17.8434566)
